,Unnamed: 0,track_uri,track_id,track_name,album_release_date,track_year,popular_year,Top100
672,672,spotify:track:4mnTMsp8Cgf9TNiQMhH11L,4mnTMsp8Cgf9TNiQMhH11L,I Wish I Was a Punk Rocker (with Flowers in My Hair),2006-06-05,2006,2006,Y
673,673,spotify:track:58HpsDKeYoLtNhXFQyQmz5,58HpsDKeYoLtNhXFQyQmz5,Move Along,2005-01-01,2005,2006,Y
674,674,spotify:track:2JpUkUR0OsOlUUfm6iS8ic,2JpUkUR0OsOlUUfm6iS8ic,Money Maker,2006-01-01,2006,2006,Y
675,675,spotify:track:7cVmKBwzPsh4Fmb6SplfEm,7cVmKBwzPsh4Fmb6SplfEm,"Lean Wit It, Rock Wit It",2006-01-01,2006,2006,Y
676,676,spotify:track:5xT8JXJSyHYNfC11OFqzFL,5xT8JXJSyHYNfC11OFqzFL,Is It Any Wonder?,2006-06-12,2006,2006,Y
677,677,spotify:track:0tYPj0NYa7vjlJaqlRSnJb,0tYPj0NYa7vjlJaqlRSnJb,Chain Hang Low,2006-01-01,2006,2006,Y
678,678,spotify:track:2RWxrpsFshOBFwRBRstUlQ,2RWxrpsFshOBFwRBRstUlQ,Check On It (feat. Bun B & Slim Thug),2006-09-04,2006,2006,Y
679,679,spotify:track:7pAT4dOUzjq8Ziap5ShIqC,7pAT4dOUzjq8Ziap5ShIqC,Where'd You Go (feat. Holly Brook & Jonah Matranga),2005-11-21,2005,2006,Y
680,680,spotify:track:1Ab6RxeKl3e07zP7Get7CX,1Ab6RxeKl3e07zP7Get7CX,Stupid Girls,2006-04-04,2006,2006,Y
681,681,spotify:track:2GdGb6bdMYoq7EHkmWvb5D,2GdGb6bdMYoq7EHkmWvb5D,No Promises,2006-04-17,2006,2006,Y
682,682,spotify:track:5ClXLJW6OLZuTLCwhmX9h9,5ClXLJW6OLZuTLCwhmX9h9,From Paris to Berlin,2004-08-23,2004,2006,Y
683,683,spotify:track:13pyGLYmBjYgvOMIEivX2K,13pyGLYmBjYgvOMIEivX2K,I Don't Feel Like Dancin',2006-01-01,2006,2006,Y
684,684,spotify:track:3HVJbdz0V402U5YggQK4Ao,3HVJbdz0V402U5YggQK4Ao,Touch It,2006-01-01,2006,2006,Y
685,685,spotify:track:3rKCDtV8UcF0RytSiXxypc,3rKCDtV8UcF0RytSiXxypc,Get Up (feat. Chamillionaire),2006,2006,2006,Y
686,686,spotify:track:423EcxblW9F4nnQkqcqMlK,423EcxblW9F4nnQkqcqMlK,Deja Vu (feat. Jay-Z),2007-05-29,2007,2006,Y
687,687,spotify:track:3YQjgTpUVNWvpYeb2mtTF7,3YQjgTpUVNWvpYeb2mtTF7,Grillz,2005-11-22,2005,2006,Y
688,688,spotify:track:5ZqNz8GXWpkb95f7aVxTA0,5ZqNz8GXWpkb95f7aVxTA0,It Ends Tonight,2005-01-01,2005,2006,Y
689,689,spotify:track:5i9UKSttY3V7x9OnYZsMBX,5i9UKSttY3V7x9OnYZsMBX,A Moment Like This,2007,2007,2006,Y
690,690,spotify:track:19iqWNzp5LwEdvntpEK8MP,19iqWNzp5LwEdvntpEK8MP,"Steady, As She Goes",2006,2006,2006,Y
691,691,spotify:track:6k8uthjEbttfWXcGaNTQGD,6k8uthjEbttfWXcGaNTQGD,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,2006-11-07,2006,2006,Y
692,692,spotify:track:2SGBEDwsOAOAHrrdAd304i,2SGBEDwsOAOAHrrdAd304i,She Moves In Her Own Way,2006-01-01,2006,2006,Y
693,693,spotify:track:1kAC8QX4meGZhEbtXtqF1o,1kAC8QX4meGZhEbtXtqF1o,The Rose,2006-11-20,2006,2006,Y
694,694,spotify:track:1JOxCh2Aa08z8cNJQJhWBJ,1JOxCh2Aa08z8cNJQJhWBJ,Fill My Little World,2006-06-05,2006,2006,Y
695,695,spotify:track:6yuvC80FcnVJNvC0DbXN9e,6yuvC80FcnVJNvC0DbXN9e,Come to Me (feat. Nicole Scherzinger),2006-10-16,2006,2006,Y
696,696,spotify:track:28euH5Ny1JXxZAt2KjWp62,28euH5Ny1JXxZAt2KjWp62,You Give Me Something,2006-01-01,2006,2006,Y
697,697,spotify:track:40ocQVCLvaZdZP7rn1tTwU,40ocQVCLvaZdZP7rn1tTwU,Something Kinda Ooooh,2012-01-01,2012,2006,Y
698,698,spotify:track:0Eu5SrReZzaJX0NLKI8tQS,0Eu5SrReZzaJX0NLKI8tQS,Bossy Featuring Too $hort (feat. Too $hort),2006-08-22,2006,2006,Y
699,699,spotify:track:5TXNLJ2EENAt3Tf9MX4kT2,5TXNLJ2EENAt3Tf9MX4kT2,Beep,2005-01-01,2005,2006,Y
700,700,spotify:track:7wZUrN8oemZfsEd1CGkbXE,7wZUrN8oemZfsEd1CGkbXE,Bleeding Love,2007,2007,2007,Y
701,701,spotify:track:49FYlytm3dAAraYgpoJZux,49FYlytm3dAAraYgpoJZux,Umbrella,2008-06-02,2008,2007,Y
702,702,spotify:track:0j2T0R9dR9qdJYsB7ciXhf,0j2T0R9dR9qdJYsB7ciXhf,Stronger,2007-09-11,2007,2007,Y
703,703,spotify:track:4AniPkv5vgdE1n6VKreiyI,4AniPkv5vgdE1n6VKreiyI,Big Girls Don't Cry (Personal),2006-09-13,2006,2007,Y
704,704,spotify:track:6kopmMZiyLmw7h66uXcXR7,6kopmMZiyLmw7h66uXcXR7,Valerie (feat. Amy Winehouse) - Version Revisited,2007-04-16,2007,2007,Y
705,705,spotify:track:4RCWB3V8V0dignt99LZ8vH,4RCWB3V8V0dignt99LZ8vH,Hey There Delilah,2005-01-01,2005,2007,Y
706,706,spotify:track:3pD0f7hSJg2XdQ6udw5Tey,3pD0f7hSJg2XdQ6udw5Tey,What Goes Around.../...Comes Around (Interlude),2006-09-12,2006,2007,Y
707,707,spotify:track:66ZcOcouenzZEnzTJvoFmH,66ZcOcouenzZEnzTJvoFmH,The Sweet Escape,2006-01-01,2006,2007,Y
708,708,spotify:track:2bLqfJjuC5syrsgDsZfGmn,2bLqfJjuC5syrsgDsZfGmn,The Way I Are,2007-01-01,2007,2007,Y
709,709,spotify:track:2kQuhkFX7uSVepCD3h29g5,2kQuhkFX7uSVepCD3h29g5,Smack That,2006-01-01,2006,2007,Y
710,710,spotify:track:7j31rVgGX9Q2blT92VBEA0,7j31rVgGX9Q2blT92VBEA0,Teenagers,2006-10-23,2006,2007,Y
711,711,spotify:track:5hnyJvgoWiQUYZttV4wXy6,5hnyJvgoWiQUYZttV4wXy6,Chasing Cars,2006-01-01,2006,2007,Y
712,712,spotify:track:3FAclTFfvUuQYnEsptbK8w,3FAclTFfvUuQYnEsptbK8w,Back To Black,2006,2006,2007,Y
713,713,spotify:track:5fVZC9GiM4e8vu99W0Xf6J,5fVZC9GiM4e8vu99W0Xf6J,How to Save a Life,2005-09-13,2005,2007,Y
714,714,spotify:track:2aI21FnmY7TJVKeMaoQZ0t,2aI21FnmY7TJVKeMaoQZ0t,Say It Right,2006-01-01,2006,2007,Y
